brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine,preprocessed_brand,preprocessed_model,preprocessed_body_type,preprocessed_price,preprocessed_km,preprocessed_vehicle_engine,text_content
Yamaha,WR250R,2008 Yamaha WR250R,2008,18324e5b8a0bdb02b077453bdcf40dbf66d800a008e2efc378fc7b9b7388e28c,3150,6,Adventure Touring,28000.0,249,yamaha,wr250r,adventur tour,3150,28000.0,249,yamaha yamaha adventur tour 3150 28000.0 249
Yamaha,WR250R,2008 Yamaha WR250R,2008,c808a2be46f86115ce392175c8c1e9e28c5299640aaf64e7214eb4d2c0dfecbf,8490,14,Adventure Touring,4740.0,249,yamaha,wr250r,adventur tour,8490,4740.0,249,yamaha yamaha adventur tour 8490 4740.0 249
Honda,CBR250R,1997 Honda CBR250R,1997,1910dc2fe2e3719d925b2f124ea5a41145d812be4716164a8ed17f4779e5e7ed,2800,5,Super Sport,42740.0,249,honda,cbr250r,super sport,2800,42740.0,249,honda honda super sport 2800 42740.0 249
Honda,CBR250R,1988 Honda CBR250R,1988,2166e4214cf722795d7d07b61b5aec54794cacffe902f65cc8bbb92b1f31868a,3000,5,Super Sport,39500.0,249,honda,cbr250r,super sport,3000,39500.0,249,honda honda super sport 3000 39500.0 249
Honda,CBR250R,2012 Honda CBR250R,2012,6289b687f67491a3b9a150a34bbe841adac410391b5b7e8742042dc3a4a12261,3200,12,Super Sport,5916.0,249,honda,cbr250r,super sport,3200,5916.0,249,honda honda super sport 3200 5916.0 249
Honda,CBR250R,2011 Honda CBR250R,2011,0eda55592309e86454b16ccb57a4e2f7aa8dadd8a116d1c5ccd34782cf088f12,3000,7,Super Sport,21500.0,249,honda,cbr250r,super sport,3000,21500.0,249,honda honda super sport 3000 21500.0 249
Honda,CBR250R,1988 Honda CBR250R,1988,2160e8aad5ff57ff116c2422aa7589e1b9e1027681088e5f9620a612452b54e7,3990,11,Super Sport,26912.0,249,honda,cbr250r,super sport,3990,26912.0,249,honda honda super sport 3990 26912.0 249
Honda,CBR250R,2011 Honda CBR250R,2011,725df0b52dcca70310da566a128144ff19409059c661767a99abfa27d077c5aa,2100,5,Super Sport,16000.0,249,honda,cbr250r,super sport,2100,16000.0,249,honda honda super sport 2100 16000.0 249
Honda,CBR250R,2012 Honda CBR250R,2012,7ee88823f1753471f611d43b369b2ced7d53a9a99dafbf68028fc86116c561cb,2700,9,Super Sport,10065.0,249,honda,cbr250r,super sport,2700,10065.0,249,honda honda super sport 2700 10065.0 249
Honda,CBR250R,2011 Honda CBR250R,2011,2b2b980225c006b2234ae115d3c3105b869d1b689546512df60f38baa5001d22,3000,9,Super Sport,5888.0,249,honda,cbr250r,super sport,3000,5888.0,249,honda honda super sport 3000 5888.0 249
Honda,CBR250R,2011 Honda CBR250R,2011,dffd9fbb524aa32f9e8bc9b94380cc71e8ed48125e418d677a15f20da695a338,3500,4,Super Sport,1016.0,249,honda,cbr250r,super sport,3500,1016.0,249,honda honda super sport 3500 1016.0 249
Honda,CBR250R,2012 Honda CBR250R,2012,b9a76e7d1e3fddb12a1c48ae7fb73c18d9e80bac26c65c4beafa3fdead2dd467,2900,7,Super Sport,10600.0,249,honda,cbr250r,super sport,2900,10600.0,249,honda honda super sport 2900 10600.0 249
Honda,CBR250R,2011 Honda CBR250R,2011,c7bc97a035de76f20f1f092144adcc7c04e95f192e47771b3fd595eea6af082d,3000,7,Super Sport,18500.0,249,honda,cbr250r,super sport,3000,18500.0,249,honda honda super sport 3000 18500.0 249
