brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine
Yamaha,TT-R50E,2013 Yamaha TT-R50E,2013,6d991c4c66ab3403df233a52193671b9ed9b0ca85f2406bf39dfdbb53a7e2200,1200,6,Fun,,49
Yamaha,TT-R50E,2013 Yamaha TT-R50E,2013,77609102c41ae315b02bb2789cc8adbb76f916b250cd33b0f471571d85fc89fe,1500,10,Fun,,49
Yamaha,TT-R50E,2013 Yamaha TT-R50E,2013,2c9dc65cfc880665101282cb729311e9f5998e1df13c97bbfa72ebda7a328e7c,1390,30,Fun,,49
Yamaha,TT-R50E,2012 Yamaha TT-R50E,2012,2625f61ac5627ef46fbfeb41fe7314047a5a4eb11c4afb56807a3832a1bfb172,1350,9,Fun,,49
Yamaha,TT-R50E,2009 Yamaha TT-R50E,2009,e722281e1174149923d3548f98fb8b6302fd86ae2150f5ee0879036adaef7d00,850,3,Fun,1,49
KTM,50 SX Mini,2016 KTM 50 SX Mini,2016,adc22b7528ea2aa7e4fe17b50f606a2b6ecc0a25c106afa02243cbbb30f8913c,2650,7,Fun,,49
KTM,50 SX Mini,2013 KTM 50 SX Mini,2013,ce275a1984271c228568d717b92a7087d0f5a7b2facbd2ea6a25bddfeadcaac0,2200,7,Fun,,49
KTM,50 SX Mini,2015 KTM 50 SX Mini,2015,24147b487be19831c930ef5008f8c6e8a0f79c5377f1ae9b90cfec530d10b4be,2200,6,Fun,,49
Vmoto,Monza JP50,2011 Vmoto Monza JP50,2011,f347b8f5ee3acf692229058150861caece84e0bff72f591c8d2ee63f319cfc62,1885,2,Scooters,3185,49
Peugeot,Ludix Blaster,2006 Peugeot Ludix Blaster,2006,66c4f862a0e0540d8d69c55b654d18191e3befb86b0e7402efdf5088567366fb,600,5,Scooters,12472,49
Yamaha,PeeWee 50 (PW50),2014 Yamaha PeeWee 50 (PW50) MY15,2014,82b32df6e6fdecba6652b49b2fe59d0605d800a725edd7a5e05c6dbf00005585,1250,1,Fun,100,49
Yamaha,PeeWee 50 (PW50),2018 Yamaha PeeWee 50 (PW50),2018,f50dc605bc0179325f2d892ceadae02c1ab77928ee47fa71322f5d97d41d16a0,1899,9,Fun,,49
YCF,50 A,2018 YCF 50 A,2018,27f7e4f7d04e4018a91adb294bd258ae62b4d39347243d6d0dc224ce273ce027,1200,2,Fun,1,50
Kawasaki,KX65,2013 Kawasaki KX65,2013,d6ba4e9210be4c2753a3eb86349a912a9019548cdf02b782d71efb8d7591403d,2750,6,Fun,,64
Kawasaki,KX65,2008 Kawasaki KX65,2008,c13cda15a463c3eefc93537e926e6599ba97d0ad518767a53db4ec9bacaae334,1750,2,Fun,1,64
Kawasaki,KX65,2014 Kawasaki KX65,2014,0afe194cad7af4efab49f29b7aa277ee5092a373b0b18efd3fdb57b641e3079a,2800,8,Fun,,64
Yamaha,YZ65,2018 Yamaha YZ65,2018,8e945aa85c1eb6abf3b9cb6ef5f70723af63a4242e06364bd56c16ad4ec1622d,5390,11,Motocross 2 Stroke,,64
Husqvarna,CR 65,2012 Husqvarna CR 65,2012,9826da5f2179ec2d9a4cb9f89b1e284529985049f17c186c693418a914b2c4e1,2100,8,Motocross 2 Stroke,,64
KTM,65 SX,2016 KTM 65 SX MY17,2016,c43ebf64d80ece9212d48ff415458b8882886b7de5cbe338309a60b23fae5a57,4000,14,Motocross 2 Stroke,,65
KTM,65 SX,2018 KTM 65 SX,2018,c126fb19f6c2093bd5abc3c0bea6ffd21863cf22d2728e566ee2e6ef65ee5580,4250,8,Motocross 2 Stroke,,65
KTM,65 SX,2017 KTM 65 SX,2017,f28a35e11306d059713f756b28d1e90d287d90db22e8593b741df598ecae95e1,4399,7,Motocross 2 Stroke,,65
KTM,65 SX,2016 KTM 65 SX MY17,2016,515453cba792ef23038eb4b3e73b6a24e7b47f392e84c8d05086e383fe354a3a,3990,30,Motocross 2 Stroke,40,65
KTM,65 SX,2014 KTM 65 SX,2014,cc745649fcba969d1199504ecbec1b4234da79fc5c6950df1fdc00ed564172cf,2990,3,Motocross 2 Stroke,,65
KTM,65 SX,2017 KTM 65 SX,2017,90a6fe77b1fcd650f39775aab199b790fc77fd94629e3cf77f4151836630af66,4500,6,Motocross 2 Stroke,,65
Suzuki,DR-Z70,2015 Suzuki DR-Z70,2015,b56f525be620e1b443784abf60690fca81371ff7ea059e277dba75ee28d5df41,1550,1,Fun,,67
Suzuki,DR-Z70,2015 Suzuki DR-Z70,2015,407f8d9c61425ead11c69315de5a9cc29bc9c1536d543a123456b80bce743345,1990,26,Fun,,67
Yamaha,Raptor 80 (YFM80R),2000 Yamaha Raptor 80 (YFM80R),2000,a40cfb3c014d5b317907f06bbb679941cff1c6a540c726f6a78b943389669a1c,1300,5,Fun,1000,79
Suzuki,QuadSport 80 - LT80,2004 Suzuki QuadSport 80 - LT80,2004,554fe97536ad90fe0090ac65e0def673012b07516f0d86333b9d6ef3836c328e,1250,8,Sport,1,79
Honda,CRF80F,2011 Honda CRF80F,2011,f6c3686ae1070d222a7f4931711b22e8babac4aab06bddbec2f7afd948b513ef,1800,7,Fun,20,80
Kawasaki,KX85,2016 Kawasaki KX85,2016,fb22ce0b2aa185bdc038d3ac43b8ec10626d812f87faf2b03741c08814ea429f,4650,7,Motocross 2 Stroke,,84
Kawasaki,KX85,2014 Kawasaki KX85,2014,251d4c73514e80aa773caea471472e6c3191fded30ca733e9133452c8dcf2a6e,3000,4,Motocross 2 Stroke,100,84
Kawasaki,KX85,2017 Kawasaki KX85,2017,a2e4d65b1eac55ef23d315141c1354b67348d78eae4ca3652caef18dfe71c210,5200,8,Motocross 2 Stroke,,84
Suzuki,RM85L,2016 Suzuki RM85L,2016,1813cc4a25302350896952e05d278559aaccfa9a7d360b52f6f6b8dbe4dd50e3,4100,12,Motocross 2 Stroke,,84
Kawasaki,KX85 II,2015 Kawasaki KX85 II,2015,0a6e37ce53e51af490bd561d4c27aff8fe91d9db682749c3ea354d260fe8f93c,3500,6,Motocross 2 Stroke,,84
Kawasaki,KX85 II,2016 Kawasaki KX85 II MY17,2016,c6366fb2b5194d063666ccac1d335b7d54e03501f088de0fedef979b213d1d81,6490,15,Motocross 2 Stroke,11,84
Kawasaki,KX85 II,2016 Kawasaki KX85 II MY17,2016,62033ef20109a497f7a4999f6a408630b61a778b6518e520435872f16f185587,4800,6,Motocross 2 Stroke,,84
Husqvarna,TC 85 BW,2016 Husqvarna TC 85 BW,2016,c4af22195d4792e22870b84acb2aa383613a26c6840a134dc2326b2a0b10d0c6,4000,7,Fun,,84
Husqvarna,TC 85 BW,2017 Husqvarna TC 85 BW MY18,2017,a9424addd2dbfe9a4faf05dd2b09d6521f8449340a2783b6f0b19b6f28be8a37,4990,30,Fun,,84
Husqvarna,TC 85 BW,2017 Husqvarna TC 85 BW MY18,2017,292c04899a4492078992c0a14192b5ea2e639eaa447adc43d22025eef34a7b67,4700,10,Fun,,84
KTM,85SX (17/14),2004 KTM 85SX (17/14),2004,59a91aa3fb4257a45fa5ed668e04fe9f7d1e1b50e2a1ae9d6601c82094b9f848,1500,6,Motocross 2 Stroke,,84
KTM,85 SX (Small Wheel),2015 KTM 85 SX (Small Wheel),2015,6110ec3dbaa063fc17c29c1761b4e5c176b29fe5f805b0392948d2843ee183e5,4500,7,Motocross 2 Stroke,,84
KTM,85 SX (Small Wheel),2016 KTM 85 SX (Small Wheel),2016,45e61ee10310864a60a92a83a74db0d87952fba8f9e293a87965a8210895f6d6,4995,9,Motocross 2 Stroke,,84
KTM,85 SX (Small Wheel),2014 KTM 85 SX (Small Wheel),2014,81d6f9d40efc6b2b8d39191a3456fc2f7d07d5ae9b61f572fbc90875633e4a90,3200,9,Motocross 2 Stroke,,84
Kawasaki,KX85,2006 Kawasaki KX85 MY07,2006,0d68c362a94d48c2cf10cbc9bda68813a7a53a2d8c5a55c14d3bc9d8127dc90d,1500,5,Motocross 2 Stroke,,85
Honda,CR85R,2004 Honda CR85R,2004,42cf89441730e81f1457e9c5714be9c163c85849727b8b7e2f318ee7d777f71d,2800,13,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2016 KTM 85 SX (Big Wheel),2016,7d8a1f90ce55605bc40228219f8000012e84cefcf6d2ca1dee94cca79de52686,4450,8,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2015 KTM 85 SX (Big Wheel),2015,77da99beca0e634b180746f14a6a55b5f973f8d2da03e97a5d702c4d0589ebab,3999,6,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2014 KTM 85 SX (Big Wheel) MY15,2014,2f04d5185043f3ddde55052459e45e3ca4656ea0d9c6cb7f6874fe87abdc731e,2800,4,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2016 KTM 85 SX (Big Wheel),2016,bb34a4fbc829cd761c06d9d2bcc70113b1fcde7d066634d826585874a3f1917b,4990,4,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2013 KTM 85 SX (Big Wheel),2013,3c3bc5a7a30d6419a192834ef9b30a64334fa69f21f52107e423df142ed02737,4290,28,Motocross 2 Stroke,1,85
KTM,85 SX (Big Wheel),2018 KTM 85 SX (Big Wheel) MY19,2018,94e29467b1ac26c8c5d06fa39f0ac287562dcea3d4cd5276d5aa791c27a31c74,6000,6,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2017 KTM 85 SX (Big Wheel),2017,d0aabbd10c9b31551897dcd67c15799e2cc07aca3daaa0810f8dea37d3ee20ee,4000,11,Motocross 2 Stroke,,85
KTM,85 SX (Big Wheel),2015 KTM 85 SX (Big Wheel),2015,238fdee8ce6c79334098919f6121f9fde635cb10cbe9fc5c42d0470a94c8dd4f,3500,6,Motocross 2 Stroke,,85
Yamaha,YZ85LW,2009 Yamaha YZ85LW,2009,ad667a70fb2d1f70f8a29f1eccb77a50aa794ad5a6cc3474754030c44ee57af1,2495,9,Motocross 2 Stroke,,86
Suzuki,RV90,1972 Suzuki RV90,1972,d075ca91a8c3588a8003ee3ff29e3457ed5fb06ef219e09eedecd2ea0eab9a4c,4700,8,Naked,7593,88
Vespa,90 Super Sprint,1965 Vespa 90 Super Sprint,1965,61ecdaaf8e34c72c9b54719d9258ff540669051d1b2dbff86fdf086c9bdc8ded,4500,17,Scooters,,88
Kawasaki,KFX90,2013 Kawasaki KFX90 MY14,2013,f8ccef97bc32d3928a6793244f1489fa07b301f4bbb387f81615f0872511ae62,1900,4,Fun,,89
Kawasaki,KFX90,2012 Kawasaki KFX90 MY13,2012,db56c3d0dc13a6c3933c16b233256d4c4f7adc0be2d838b279edfe6a527457f5,1500,2,Fun,500,89
Yamaha,TT-R90,2005 Yamaha TT-R90,2005,0e95760c1f7dcfbf560ad1d2a09495b6b985f8ddea67065496f50a25be909b7c,1450,3,Trail,1,89
Vespa,100 Sport,1979 Vespa 100 Sport,1979,68186f053822f904ba7850af4a222017e3bbf60ea60401232943f748da4236ee,4500,9,Scooters,1100,96
Peugeot,Speedfight 100,2007 Peugeot Speedfight 100,2007,847b2c826d8e75d12c08bad4136f7f151bc3720e9ed32a84508e95f3b238c21b,1750,6,Scooters,16100,100
Honda,CT110P,1996 Honda CT110P,1996,a2fc155772e906b42e4634a23e20b995a993a7995385b5951ebcf39ce063175a,3300,5,Farm,2230,105
Honda,CT110P (ADR),2002 Honda CT110P (ADR),2002,c9f25cfc186c4051d7a4759557ff38f7af85d73d0bb986ebb2d3cdc8d235cacd,1300,6,Naked,35314,105
Honda,CT110P (ADR),2009 Honda CT110P (ADR),2009,3db2aa63f96456ff6ff64d394c7f09678525b70dab051220f6008f238464bbb1,4990,10,Naked,6300,105
Honda,Dio (NSC110),2013 Honda Dio (NSC110),2013,21d8366bb4e8653150528b85a5545fa8d1831381f56d4212708e71b73b0c5e77,2000,7,Scooters,4564,108
Honda,Super Cub C110 (NBC110),2015 Honda Super Cub C110 (NBC110),2015,910250af2eba14d4eac21c87e7574c0952006951b00e86a97907afd5b55c4618,1750,6,Scooters,28999,109
Honda,Super Cub C110 (NBC110),2013 Honda Super Cub C110 (NBC110),2013,81dc01cee1980c462b2eb19f800968ca56a7adb6c25fa7d66627aa0402e1b98d,1800,4,Scooters,37000,109
Honda,Super Cub C110 (NBC110),2016 Honda Super Cub C110 (NBC110),2016,5ca5f6af9bf7b5c6aecd89021e7fa41bdcdc80bf186ab8149464d3917f716788,1990,13,Scooters,16011,109
Kawasaki,KLX110,2016 Kawasaki KLX110 MY17,2016,d551a77a7fdbce904144553aa70fcbec52ca73d9e66777b304d6bffa410130a8,1700,2,Fun,,112
Kawasaki,KLX110,2001 Kawasaki KLX110,2001,49f390359a77e50130291a178dd6baccc8bade81fcf9100724e817de60ade3ba,1200,6,Fun,,112
Kawasaki,KLX110L,2015 Kawasaki KLX110L MY16,2015,69ef5ea06cc29093c9e8a24392769ae65a15d5a66b97a5f0187e755db4fdfa3c,1995,10,Fun,,112
Kawasaki,KLX110L,2017 Kawasaki KLX110L,2017,00ac95762cf650097a056e7f4f747ae76dab2037bbe10ce18167422865569d76,2200,6,Fun,,112
Polaris,Outlaw 110,2016 Polaris Outlaw 110,2016,c36c4660ab5d834c81994461d0532066091666c50bf71f945edbcd94d7b5a588,2500,1,Fun,,112
Polaris,Outlaw 110,2018 Polaris Outlaw 110,2018,b102dc02898b259509a7505afc6246b049e60c991009b328b53cd285f9720ec9,2700,1,Fun,100,112
Suzuki,Address 110 (UK110NE),2018 Suzuki Address 110 (UK110NE),2018,f6e3f5402d8d17c0be6f06f8e163131831ef1d31a9909698f97ce55b417ad060,3300,15,Scooters,2,113
Suzuki,Address 110 (UK110NE),2017 Suzuki Address 110 (UK110NE) MY16,2017,5ff6c5999df5f6bcaee37d21e4b078c1601c231b2a13f30df2f867625ee34e90,2750,7,Scooters,620,113
Suzuki,Address 110 (UK110NE),2015 Suzuki Address 110 (UK110NE),2015,b2e0bd7caf77d17ceea8edd6075f92e42fc686a3d3200e43463e898002b8a2c4,2200,3,Scooters,3113,113
Yamaha,YZ125,2009 Yamaha YZ125,2009,fe7b207a995eadbbc5a5f9a9ba743e479113395ae9c0ed324e4f9b0fd971dfc5,6100,5,Motocross 2 Stroke,,123
Vespa,125 (VNB),1960 Vespa 125 (VNB),1960,d71dcce23e40c938269ad27a7a378a4f9ca5ca7a5663bdc0398b333ac26dd32a,8500,3,Scooters,200,123
Kymco,CK125,2010 Kymco CK125,2010,5cd184f94175d56a4f1be917d9c023e5fda591bd4072ce592ce79407e80d6035,1999,24,Naked,19204,124
Suzuki,GT125,1976 Suzuki GT125,1976,5e272491476415f039f989ec5b609aa604d4ad1f4cf1842e483906a9e57225c9,5000,18,Naked,30038,124
Kawasaki,KX125,2002 Kawasaki KX125,2002,f6126993417df3eccf47f4f79813e39649e7187cb2dfdb744fac452ddff10190,2000,2,Motocross 2 Stroke,,124
Suzuki,RM125,2011 Suzuki RM125,2011,1b7100c125772b25bb7852c5f785baf55a3b8db90ed4508b54e5120808ccd009,5500,13,Motocross 2 Stroke,,124
Yamaha,YZ125,2016 Yamaha YZ125,2016,cac544a2dc10dde5e4642192bcbc3c690ca83ea86cdb8ef3788be9cfda6ac484,5990,11,Motocross 2 Stroke,,124
KTM,125 SX,2017 KTM 125 SX,2017,09a236e6cd8d31fc2c730294635c3bfd5a9f1035a5f7f9a80677d13779ddc15c,6000,4,Motocross 2 Stroke,,124
KTM,125 SX,2009 KTM 125 SX,2009,ee690dc6d1043f199d1223a5398ec9d9d840153a20922b08a64422856fcaa55f,3800,6,Motocross 2 Stroke,,124
KTM,125 SX,2016 KTM 125 SX,2016,3cbad733449404cc86c635cd397f4979e76a946b5d80f0d8570cc863fe1bfde3,5900,8,Motocross 2 Stroke,,124
KTM,125 SX,2018 KTM 125 SX MY19,2018,32b70ad5e703a937b57b946ae4c135f3ee2bc311ee989e1bb1ec0a175aabf746,9995,3,Motocross 2 Stroke,,124
KTM,125 SX,2016 KTM 125 SX,2016,f1fbd9ef798db7295bfc043ddf142a3c0a46ddc15af1c6dd4fb621de4f4d03db,5400,10,Motocross 2 Stroke,,124
Honda,CB125E,2016 Honda CB125E,2016,9e108b8f3782fd9fa2a80cc86ac6e463609ff76b74615eab6ac8cc6cdc6ffef9,2000,10,Naked,19500,124
Honda,CB125E,2018 Honda CB125E,2018,7dd87fe1067ff6441882eab6497754dbee8af012452fb6b82cef915f858ceac4,2300,2,Naked,6008,124
Honda,CB125E,2013 Honda CB125E,2013,454e2817cbc890b0c38cfa6ab0d17efccfa9454e4bede35b2d9c3cf5faa9211b,2000,8,Naked,14000,124
Honda,CB125E,2016 Honda CB125E,2016,c940cf4d600f4ba640ce970a14f8958a37199d6ae36b0e04a642d24b1bddbb28,2500,2,Naked,9000,124
Honda,CB125E,2012 Honda CB125E,2012,d11f92c2f9e80b7b7fe08149cd4ec4f906605696e6b6ead95053864996447228,2150,8,Naked,2684,124
Honda,CB125E,2014 Honda CB125E,2014,37ea7f333686309d57f5ca85fea4bcba6ac6162baf2bbfd1c78e49b67c1e98a2,555,8,Naked,3808,124
Honda,CB125E,2018 Honda CB125E,2018,b833f5aa9d2f6d98ad5cf81415ede267c726843842c52be9d4782e5bd08f4c1c,2800,4,Naked,2900,124
Honda,CB125E,2014 Honda CB125E,2014,20c2cef8cb6a3ffcb7982d5a35922caacd9f8d2d28d93690ebeffbbe617b5f05,2290,21,Naked,14676,124
Honda,CB125E,2014 Honda CB125E,2014,c56e534c5202a0e1ef34817d0fa1f846d848720019c6e31037ebb108d933f85e,1800,5,Naked,6874,124
Honda,CB125E,2013 Honda CB125E,2013,133ccff307de26d4530944596361da98de3039fb61c96b9ba3c61edf8578264c,1800,10,Naked,27345,124
Honda,CB125E,2017 Honda CB125E,2017,f3b1abd69fdfd1df0043ebba09a087efa386e2962a0041e69034cf30b8336e46,1800,5,Naked,2128,124
Honda,CB125E,2018 Honda CB125E,2018,2509cc58c4d2d7f1c4b3a4428b3496344a1cd4500b4ac1956f2a2a92e1bd1036,2000,5,Naked,10000,124
Honda,CB125E,2013 Honda CB125E,2013,9e68dd4e3c21f5db6762e61921c0775fab5e430c9fa2857a1608e81d3a644797,1500,3,Naked,10603,124
Aprilia,RS 125,2007 Aprilia RS 125,2007,47186465a3b758755b046a2aa3dcb9bce82c3ac733f3b0895a78baaa98ef4ba9,2999,6,Super Sport,17027,124
Aprilia,RS 125,2005 Aprilia RS 125,2005,ad6382abc1dc59bea1bf03e66512961fa57e613c3d5bac3e6b21a2a3b3dcd102,3200,7,Super Sport,30600,124
Aprilia,RS 125,2009 Aprilia RS 125,2009,5a61c84d1eeefeb2ec0dd37b8ffeff5b1ab3a8a980c0584a3fa928f44ef5f51a,6000,10,Super Sport,9111,124
Skyteam,Ace 125,2012 Skyteam Ace 125,2012,31e512e7fe35536ca1aca8ee7fac4dbbc4ac9d3e701b57a267a9d261b4a2c9a6,1500,10,Naked,2173,124
Skyteam,Ace 125,2012 Skyteam Ace 125,2012,c6dffc79a4cda085de357eec1bc0366f25efc548e1514280eaddbf5d69d7bf01,2100,6,Naked,4900,124
Suzuki,DR-Z125,2003 Suzuki DR-Z125,2003,2e2595e3df53e355476cae35132da80bc879906d65bbc7b7ad9515b79c332bf4,2000,2,Fun,,124
Suzuki,DR-Z125,2013 Suzuki DR-Z125,2013,3f2ba1fec5fc5b123a752d59e45b5e9c55dc4535804dff2e05e73d15e1ad48d2,2199,4,Fun,,124
